id,name,first,last
d643,novak-djokovic,novak,djokovic
mm58,daniil-medvedev,daniil,medvedev
z355,alexander-zverev,alexander,zverev
te51,stefanos-tsitsipas,stefanos,tsitsipas
n409,rafael-nadal,rafael,nadal
re44,andrey-rublev,andrey,rublev
bk40,matteo-berrettini,matteo,berrettini
rh16,casper-ruud,casper,ruud
ag37,felix-auger-aliassime,felix-auger,aliassime
s0ag,jannik-sinner,jannik,sinner
hb71,hubert-hurkacz,hubert,hurkacz
n771,cameron-norrie,cameron,norrie
sm37,diego-schwartzman,diego,schwartzman
su55,denis-shapovalov,denis,shapovalov
kc56,aslan-karatsev,aslan,karatsev
tb69,dominic-thiem,dominic,thiem
f324,roger-federer,roger,federer
bd06,roberto-bautista-agut,roberto-bautista,agut
gd64,cristian-garin,cristian,garin
mc65,gael-monfils,gael,monfils
cd85,pablo-carreno-busta,pablo-carreno,busta
fb98,taylor-fritz,taylor,fritz
bg23,nikoloz-basilashvili,nikoloz,basilashvili
e687,daniel-evans,daniel,evans
i186,john-isner,john,isner
su87,lorenzo-sonego,lorenzo,sonego
c977,marin-cilic,marin,cilic
d875,grigor-dimitrov,grigor,dimitrov
o522,reilly-opelka,reilly,opelka
ke29,karen-khachanov,karen,khachanov
a0e2,carlos-alcaraz,carlos,alcaraz
f510,fabio-fognini,fabio,fognini
hg86,lloyd-harris,lloyd,harris
td51,frances-tiafoe,frances,tiafoe
f724,marton-fucsovics,marton,fucsovics
kb05,filip-krajinovic,filip,krajinovic
bk92,alexander-bublik,alexander,bublik
d874,federico-delbonis,federico,delbonis
l987,dusan-lajovic,dusan,lajovic
hh26,ugo-humbert,ugo,humbert
pl56,tommy-paul,tommy,paul
dh58,alex-de-minaur,alex-de,minaur
k0ah,sebastian-korda,sebastian,korda
r772,albert-ramos-vinolas,albert-ramos,vinolas
gb88,david-goffin,david,goffin
n552,kei-nishikori,kei,nishikori
i305,ilya-ivashka,ilya,ivashka
rc91,arthur-rinderknech,arthur,rinderknech
d994,james-duckworth,james,duckworth
dh50,alejandro-davidovich-fokina,alejandro-davidovich,fokina
db63,laslo-djere,laslo,djere
sl28,jan-lennard-struff,jan-lennard,struff
ke73,dominik-koepfer,dominik,koepfer
kf17,soonwoo-kwon,soonwoo,kwon
mk66,mackenzie-mcdonald,mackenzie,mcdonald
pd31,benoit-paire,benoit,paire
v812,botic-van-de-zandschulp,botic-van-de,zandschulp
b0cd,jenson-brooksby,jenson,brooksby
p09z,alexei-popyrin,alexei,popyrin
m0ej,lorenzo-musetti,lorenzo,musetti
mo44,pedro-martinez,pedro,martinez
gj37,tallon-griekspoor,tallon,griekspoor
bm95,benjamin-bonzi,benjamin,bonzi
ce77,federico-coria,federico,coria
ml57,gianluca-mager,gianluca,mager
gc88,marcos-giron,marcos,giron
g09o,hugo-gaston,hugo,gaston
n0ae,brandon-nakashima,brandon,nakashima
me82,adrian-mannarino,adrian,mannarino
c0bc,maxime-cressy,maxime,cressy
mu94,jaume-munar,jaume,munar
bf23,facundo-bagnis,facundo,bagnis
tc61,jordan-thompson,jordan,thompson
mv14,alex-molcan,alex,molcan
cf59,roberto-carballes-baena,roberto-carballes,baena
pc11,guido-pella,guido,pella
ki95,miomir-kecmanovic,miomir,kecmanovic
v708,jiri-vesely,jiri,vesely
mj08,thiago-monteiro,thiago,monteiro
c0c8,juan-manuel-cerundolo,juan-manuel,cerundolo
g628,richard-gasquet,richard,gasquet
g967,peter-gojowczyk,peter,gojowczyk
a596,pablo-andujar,pablo,andujar
cg80,borna-coric,borna,coric
r975,milos-raonic,milos,raonic
y268,mikael-ymer,mikael,ymer
ae14,daniel-altmaier,daniel,altmaier
b0bi,sebastian-baez,sebastian,baez
mh30,john-millman,john,millman
rh24,emil-ruusuvuori,emil,ruusuvuori
l949,henri-laaksonen,henri,laaksonen
c882,pablo-cuevas,pablo,cuevas
be90,ricardas-berankis,ricardas,berankis
sl08,tennys-sandgren,tennys,sandgren
cf01,marco-cecchinato,marco,cecchinato
o449,oscar-otte,oscar,otte
a678,kevin-anderson,kevin,anderson
ta12,stefano-travaglia,stefano,travaglia
r0dg,holger-rune,holger,rune
mw02,corentin-moutet,corentin,moutet
